name,lat,long,count,date,certainty_index
"Natural History Museum Library, London",51.49684189,-0.1762706424,83.0,2008-06-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1759.0,2008-07-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,286.0,2008-07-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1446.0,2008-07-31 00:00:00,1
Princeton University,40.34604013,-74.66685643,619.0,2008-07-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,1218.0,2008-07-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,1507.0,2008-07-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,821.0,2008-07-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,134.0,2008-07-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1326.0,2008-07-31 00:00:00,1
UIUC,40.10440926,-88.22933583,178.0,2008-07-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,55.0,2008-07-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,8.0,2008-07-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,3.0,2008-07-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,86.0,2008-07-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2318.0,2008-08-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,286.0,2008-08-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1893.0,2008-08-31 00:00:00,1
Princeton University,40.34604013,-74.66685643,526.0,2008-08-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,1056.0,2008-08-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,1083.0,2008-08-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,1365.0,2008-08-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,49.0,2008-08-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1271.0,2008-08-31 00:00:00,1
UIUC,40.10440926,-88.22933583,181.0,2008-08-31 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,10.0,2008-08-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,83.0,2008-08-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,10.0,2008-08-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,22.0,2008-08-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,58.0,2008-08-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2669.0,2008-09-30 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,296.0,2008-09-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,1740.0,2008-09-30 00:00:00,1
Princeton University,40.34604013,-74.66685643,611.0,2008-09-30 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,1690.0,2008-09-30 00:00:00,1
Library of Congress,38.8895692,-77.0045688,745.0,2008-09-30 00:00:00,1
Columbia University,40.80657713,-73.96320572,1492.0,2008-09-30 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,234.0,2008-09-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1029.0,2008-09-30 00:00:00,1
UIUC,40.10440926,-88.22933583,273.0,2008-09-30 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,101.0,2008-09-30 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,93.0,2008-09-30 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,34.0,2008-09-30 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,6.0,2008-09-30 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,108.0,2008-09-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2849.0,2008-10-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,166.0,2008-10-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1557.0,2008-10-31 00:00:00,1
Princeton University,40.34604013,-74.66685643,535.0,2008-10-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,556.0,2008-10-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,765.0,2008-10-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,651.0,2008-10-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,237.0,2008-10-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,743.0,2008-10-31 00:00:00,1
UIUC,40.10440926,-88.22933583,103.0,2008-10-31 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,181.0,2008-10-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,120.0,2008-10-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,39.0,2008-10-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,25.0,2008-10-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,62.0,2008-10-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2268.0,2008-11-30 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,86.0,2008-11-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,800.0,2008-11-30 00:00:00,1
Princeton University,40.34604013,-74.66685643,282.0,2008-11-30 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,289.0,2008-11-30 00:00:00,1
Library of Congress,38.8895692,-77.0045688,751.0,2008-11-30 00:00:00,1
Columbia University,40.80657713,-73.96320572,464.0,2008-11-30 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,53.0,2008-11-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,259.0,2008-11-30 00:00:00,1
UIUC,40.10440926,-88.22933583,68.0,2008-11-30 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,72.0,2008-11-30 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,57.0,2008-11-30 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,74.0,2008-11-30 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,30.0,2008-11-30 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,54.0,2008-11-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1400.0,2008-12-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,257.0,2008-12-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,863.0,2008-12-31 00:00:00,1
Princeton University,40.34604013,-74.66685643,420.0,2008-12-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,363.0,2008-12-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,1008.0,2008-12-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,968.0,2008-12-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,65.0,2008-12-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,379.0,2008-12-31 00:00:00,1
UIUC,40.10440926,-88.22933583,24.0,2008-12-31 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,171.0,2008-12-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,60.0,2008-12-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,55.0,2008-12-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,73.0,2008-12-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,36.0,2008-12-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2141.0,2009-01-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,281.0,2009-01-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,971.0,2009-01-31 00:00:00,1
Princeton University,40.34604013,-74.66685643,425.0,2009-01-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,497.0,2009-01-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,856.0,2009-01-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,682.0,2009-01-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,117.0,2009-01-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,335.0,2009-01-31 00:00:00,1
UIUC,40.10440926,-88.22933583,68.0,2009-01-31 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,104.0,2009-01-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,38.0,2009-01-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,97.0,2009-01-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,54.0,2009-01-31 00:00:00,1
Duke University,36.00354706,-78.93830223,1.0,2009-01-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,21.0,2009-01-31 00:00:00,1
Universidad Francisco Marroquín,14.60594769,-90.50534962,1.0,2009-01-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1709.0,2009-02-28 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,282.0,2009-02-28 00:00:00,1
UCLA,34.071863589276,-118.2538418,628.0,2009-02-28 00:00:00,1
Princeton University,40.34604013,-74.66685643,343.0,2009-02-28 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,483.0,2009-02-28 00:00:00,1
Library of Congress,38.8895692,-77.0045688,1080.0,2009-02-28 00:00:00,1
Columbia University,40.80657713,-73.96320572,473.0,2009-02-28 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,147.0,2009-02-28 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,354.0,2009-02-28 00:00:00,1
UIUC,40.10440926,-88.22933583,243.0,2009-02-28 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,85.0,2009-02-28 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,56.0,2009-02-28 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,54.0,2009-02-28 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,66.0,2009-02-28 00:00:00,1
Universidad Francisco Marroquín,14.60594769,-90.50534962,3.0,2009-02-28 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2216.0,2009-03-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,292.0,2009-03-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,619.0,2009-03-31 00:00:00,1
Princeton University,40.34604013,-74.66685643,339.0,2009-03-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,746.0,2009-03-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,1311.0,2009-03-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,309.0,2009-03-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,138.0,2009-03-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,128.0,2009-03-31 00:00:00,1
UIUC,40.10440926,-88.22933583,402.0,2009-03-31 00:00:00,1
National Library of Scotland,55.94870434,-3.191972202,81.0,2009-03-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,5.0,2009-03-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,56.0,2009-03-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,70.0,2009-03-31 00:00:00,1
Universidad Francisco Marroquín,14.60594769,-90.50534962,8.0,2009-03-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1689.0,2009-04-30 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,377.0,2009-04-30 00:00:00,1
