,name,alt_names,total_scans,start_date,end_date,months,average_scans_per_month,total_books,total_pages,median_turnover,days,total_workers,total_days_worked,productivity_per_worker
48,Library of Congress,"['capitolhill ', ' Capitolhill']",84276,2002-01-31 0:00:00,2019-12-31 0:00:00,147,573,212004,49444843.0,182.0,6638.0,154,88327,559.793075729958
49,National Agricultural Library,['beltsville'],69282,2012-12-31 0:00:00,2021-12-31 0:00:00,108,641,217119,11353112.0,1474.0,3826.0,21,32214,352.4278884956851
50,Internet Archive Headquarters,"['sfdowntown ', ' sanfrancisco ', ' tt_sanfrancisco']",97073,2009-07-31 0:00:00,2021-12-31 0:00:00,149,651,67444,20685235.0,213.0,2898.0,105,30392,680.6144709133982
51,University of Toronto,"['uoft ', ' UofT']",167658,2006-05-31 0:00:00,2021-12-31 0:00:00,184,911,465884,156005066.0,221.0,7815.0,284,168976,923.2380101316163
52,British Library,['euston'],79765,2014-01-31 0:00:00,2019-12-31 0:00:00,87,916,230566,38152998.0,428.0,3458.0,50,39968,954.5886208967174
53,Internt Archive Physical Archive,"['rich ', ' richmond ', ' richflorida']",60252,2006-03-31 0:00:00,2014-12-31 0:00:00,63,956,116251,33232598.0,141.0,4201.0,248,63209,525.757376322992
54,Datum Data Co. Ltd.,['shenzhen'],282215,2009-07-31 0:00:00,2021-12-31 0:00:00,121,2332,402330,116189734.0,244.0,3746.0,142,53887,2156.1737339246943
55,Hong Kong,"['hongkong ', ' Hong Kong']",176321,2009-09-30 0:00:00,2018-12-31 0:00:00,55,3205,293749,79920796.0,64.0,3452.0,564,81829,976.6805900108764
56,"Innodata Knowledge Services, Inc.",['cebu'],1059208,2018-09-30 0:00:00,2021-12-31 0:00:00,50,21184,5440127,1115855905.0,701.0,1715.0,402,269254,4144.250057566462
57,China,['china'],0,2023-12-00,0000-00-00,0,#DIV/0!,80606,23435858.0,1000.0,1553.0,17,13106,1788.1777811689303
58,Internet Archive Sheridan Headquarters,"['sheridan ', ' arch ', ' miss']",0,2023-12-00,0000-00-00,0,#DIV/0!,2714,871932.0,418.0,6302.0,65,47604,18.31635996975044
